都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市安曇川町上古賀,,35.36325278 ,135.98128056 ,55,公設（有蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市安曇川町上古賀,,35.36411111 ,135.97861111 ,40,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市安曇川町上古賀,,35.36196111 ,135.97963333 ,55,公設（有蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市安曇川町下古賀,,35.35692500 ,135.99022500 ,40,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市安曇川町下古賀,,35.35779167 ,135.99437222 ,45,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市安曇川町下古賀,,35.35636389 ,135.99483056 ,48,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市安曇川町中野,,35.35263611 ,135.98288333 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市安曇川町南古賀,,35.34718056 ,136.00022500 ,42,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市安曇川町南古賀,,35.34774167 ,135.99859444 ,42,公設（有蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市安曇川町下小川三ツ矢,,35.30784444 ,136.03049444 ,51,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市安曇川町田中佐賀,,35.33276944 ,135.99733333 ,40,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市安曇川町田中泰山寺,,35.33943611 ,135.97903056 ,47,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市安曇川町田中馬場,,35.33747500 ,136.00491389 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市安曇川町田中伏原,,35.32209444 ,136.00756944 ,53,公設（有蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市安曇川町田中三田,,35.33436111 ,136.00079444 ,40,公設（有蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市安曇川町田中びわこガーデンタウン,,35.33015000 ,135.99492222 ,40,公設（有蓋）
