都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000092,滋賀県,高島市,防火水槽,高島市マキノ町中庄中庄浜,,35.44228333 ,136.04642778 ,40,公設（有蓋）
252123,0000000093,滋賀県,高島市,防火水槽,高島市マキノ町蛭口醍醐,,35.46975000 ,136.04469167 ,40,公設（有蓋）
252123,0000000094,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46508056 ,136.03856667 ,40,公設（有蓋）
252123,0000000095,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46366667 ,136.04339444 ,40,公設（有蓋）
252123,0000000096,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46439167 ,136.04232778 ,55,公設（有蓋）
252123,0000000097,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46457778 ,136.04068611 ,40,公設（有蓋）
252123,0000000098,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46634167 ,136.04305556 ,40,公設（有蓋）
252123,0000000099,滋賀県,高島市,防火水槽,高島市マキノ町蛭口蛭口,,35.46550000 ,136.04317222 ,40,公設（有蓋）
252123,0000000100,滋賀県,高島市,防火水槽,高島市マキノ町北牧野,,35.48939722 ,136.03779444 ,40,公設（有蓋）
252123,0000000101,滋賀県,高島市,防火水槽,高島市マキノ町牧野北牧野,,35.49098056 ,136.03755833 ,40,公設（有蓋）
252123,0000000102,滋賀県,高島市,防火水槽,高島市マキノ町牧野西牧野,,35.48786389 ,136.03317500 ,40,公設（有蓋）
252123,0000000103,滋賀県,高島市,防火水槽,高島市マキノ町牧野南牧野,,35.48446111 ,136.03723889 ,40,公設（有蓋）
252123,0000000104,滋賀県,高島市,防火水槽,高島市マキノ町牧野南牧野,,35.48297500 ,136.03871111 ,40,公設（有蓋）
252123,0000000105,滋賀県,高島市,防火水槽,高島市マキノ町森西,,35.46137500 ,136.02883611 ,40,公設（有蓋）
252123,0000000106,滋賀県,高島市,防火水槽,高島市マキノ町森西,,35.46103056 ,136.03105833 ,40,公設（有蓋）
252123,0000000107,滋賀県,高島市,防火水槽,高島市マキノ町森西,,35.46211944 ,136.02694167 ,40,公設（有蓋）
252123,0000000108,滋賀県,高島市,防火水槽,高島市マキノ町森西,,35.46026389 ,136.02903056 ,40,公設（有蓋）
252123,0000000109,滋賀県,高島市,防火水槽,高島市マキノ町森西,,35.45581667 ,136.02653611 ,40,公設（有蓋）
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
