都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市朽木荒川上荒川,,35.36948889 ,135.93471667 ,40,公設（無蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市朽木荒川上荒川,,35.36930833 ,135.93359444 ,46,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市朽木荒川下荒川,,35.36748889 ,135.94772222 ,42,公設（無蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市朽木荒川下荒川惣田,,35.36655000 ,135.94617500 ,40,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市朽木荒川下荒川サンタウン荒川,,35.36573056 ,135.94513889 ,40,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市朽木市場,,35.35094444 ,135.91501111 ,40,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市朽木市場,,35.35696944 ,135.91779167 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市朽木市場,,35.35318333 ,135.91591389 ,40,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市朽木市場,,35.35488611 ,135.91488333 ,40,公設（無蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市朽木市場,,35.35503611 ,135.91724722 ,40,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市朽木岩瀬下岩瀬,,35.34761944 ,135.91216111 ,43,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市朽木岩瀬上岩瀬,,35.34271667 ,135.90752778 ,40,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市朽木大野,,35.31798333 ,135.89618611 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市朽木大野,,35.32480278 ,135.89875278 ,45,公設（無蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市朽木柏,,35.34157222 ,135.92155278 ,80,公設（有蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市朽木柏,,35.34303333 ,135.91825000 ,60,公設（有蓋）
252123,0000000017,滋賀県,高島市,防火水槽,高島市朽木柏上柏,,35.33896667 ,135.91052778 ,40,公設（有蓋）
