都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000001,滋賀県,高島市,防火水槽,高島市(高島町)鴨宿鴨,,35.31529167 ,136.01391944 ,40,公設（有蓋）
252123,0000000002,滋賀県,高島市,防火水槽,高島市(高島町)鴨宿鴨,,35.31516667 ,136.01139444 ,40,公設（有蓋）
252123,0000000003,滋賀県,高島市,防火水槽,高島市(高島町)鴨宿鴨,,35.31728889 ,136.01111944 ,40,公設（有蓋）
252123,0000000004,滋賀県,高島市,防火水槽,高島市(高島町)鴨宿鴨,,35.31690000 ,136.01296944 ,40,公設（有蓋）
252123,0000000005,滋賀県,高島市,防火水槽,高島市(高島町)鴨北鴨,,35.31824722 ,136.01928333 ,40,公設（有蓋）
252123,0000000006,滋賀県,高島市,防火水槽,高島市(高島町)鴨北鴨,,35.31826111 ,136.01761389 ,40,公設（有蓋）
252123,0000000007,滋賀県,高島市,防火水槽,高島市(高島町)鴨出鴨,,35.31578611 ,136.02019167 ,40,公設（有蓋）
252123,0000000008,滋賀県,高島市,防火水槽,高島市(高島町)鴨出鴨,,35.31245278 ,136.01976944 ,40,公設（有蓋）
252123,0000000009,滋賀県,高島市,防火水槽,高島市(高島町)鴨南鴨,,35.31204167 ,136.01028056 ,40,公設（有蓋）
252123,0000000010,滋賀県,高島市,防火水槽,高島市(高島町)鴨東鴨,,35.31899722 ,136.02269444 ,40,公設（有蓋）
252123,0000000011,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29495000 ,136.01139722 ,40,公設（有蓋）
252123,0000000012,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29778333 ,136.01424722 ,120,公設（有蓋）
252123,0000000013,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29702778 ,136.01107778 ,40,公設（有蓋）
252123,0000000014,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.30063889 ,136.02158056 ,40,公設（有蓋）
252123,0000000015,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29671389 ,136.01856111 ,40,公設（有蓋）
252123,0000000016,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.30109167 ,136.01410833 ,40,公設（無蓋）
252123,0000000017,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29342222 ,136.01233889 ,40,公設（有蓋）
252123,0000000018,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29907778 ,136.02121944 ,40,公設（有蓋）
252123,0000000019,滋賀県,高島市,防火水槽,高島市(高島町)勝野,,35.29279167 ,136.00671667 ,40,公設（有蓋）
252123,0000000020,滋賀県,高島市,防火水槽,高島市(高島町)鵜川,,35.27008889 ,135.99644722 ,40,公設（有蓋）
252123,0000000021,滋賀県,高島市,防火水槽,高島市(高島町)鵜川,,35.27441111 ,136.01067222 ,40,公設（有蓋）
252123,0000000022,滋賀県,高島市,防火水槽,高島市(高島町)鴨川平一丁目,,35.31150278 ,135.99112500 ,40,公設（有蓋）
252123,0000000023,滋賀県,高島市,防火水槽,高島市(高島町)鴨川平三丁目,,35.31075278 ,135.99327222 ,40,公設（有蓋）
252123,0000000024,滋賀県,高島市,防火水槽,高島市(高島町)鴨川平二丁目,,35.31223889 ,135.99357778 ,40,公設（有蓋）
252123,0000000025,滋賀県,高島市,防火水槽,高島市(高島町)永田上永田,,35.30659722 ,136.00996389 ,40,公設（有蓋）
252123,0000000026,滋賀県,高島市,防火水槽,高島市(高島町)永田永田・青冷寺,,35.30403889 ,136.01442500 ,40,公設（有蓋）
252123,0000000027,滋賀県,高島市,防火水槽,高島市(高島町)永田永田浜,,35.30139444 ,136.02396667 ,40,公設（有蓋）
252123,0000000028,滋賀県,高島市,防火水槽,高島市(高島町)永田永田浜,,35.30431667 ,136.02993056 ,50,公設（有蓋）
252123,0000000029,滋賀県,高島市,防火水槽,高島市(高島町)野田野田,,35.31511667 ,135.99781944 ,40,公設（有蓋）
252123,0000000030,滋賀県,高島市,防火水槽,高島市(高島町)宮野,,35.31107222 ,136.00128333 ,40,公設（有蓋）
252123,0000000031,滋賀県,高島市,防火水槽,高島市(高島町)伊黒,,35.31159167 ,135.97213333 ,40,公設（有蓋）
252123,0000000032,滋賀県,高島市,防火水槽,高島市(高島町)伊黒,,35.31287222 ,135.96976944 ,40,公設（無蓋）
252123,0000000033,滋賀県,高島市,防火水槽,高島市(高島町)高島富坂,,35.30939444 ,135.95102500 ,40,公設（有蓋）
252123,0000000034,滋賀県,高島市,防火水槽,高島市(高島町)拝戸上拝戸,,35.31019167 ,135.98457500 ,40,公設（有蓋）
252123,0000000035,滋賀県,高島市,防火水槽,高島市(高島町)拝戸下拝戸,,35.30671944 ,135.98967778 ,40,公設（有蓋）
252123,0000000036,滋賀県,高島市,防火水槽,高島市(高島町)畑,,35.29608056 ,135.92986111 ,40,公設（有蓋）
252123,0000000037,滋賀県,高島市,防火水槽,高島市(高島町)畑,,35.29634167 ,135.92725833 ,40,公設（無蓋）
252123,0000000038,滋賀県,高島市,防火水槽,高島市(高島町)武曽横山横山,,35.32100833 ,135.98273333 ,56,公設（有蓋）
252123,0000000039,滋賀県,高島市,防火水槽,高島市(高島町)武曽横山横山,,35.32297500 ,135.98292500 ,62,公設（有蓋）
252123,0000000040,滋賀県,高島市,防火水槽,高島市(高島町)武曽横山河原新田,,35.32401111 ,135.99466667 ,40,公設（有蓋）
252123,0000000041,滋賀県,高島市,防火水槽,高島市(高島町)武曽横山河原新田,,35.32402500 ,135.98985556 ,40,公設（有蓋）
252123,0000000042,滋賀県,高島市,防火水槽,高島市(高島町)音羽音羽,,35.30158333 ,136.00336667 ,40,公設（有蓋）
252123,0000000043,滋賀県,高島市,防火水槽,高島市(高島町)音羽音羽上,,35.30457500 ,135.99731944 ,40,公設（無蓋）
252123,0000000044,滋賀県,高島市,防火水槽,高島市(高島町)鹿ヶ瀬鹿ヶ瀬,,35.27350000 ,135.92695278 ,40,公設（有蓋）
252123,0000000045,滋賀県,高島市,防火水槽,高島市(高島町)城山台二丁目,,35.29001944 ,136.01002222 ,40,公設（有蓋）
252123,0000000046,滋賀県,高島市,防火水槽,高島市(高島町)城山台一丁目,,35.29354722 ,136.00837778 ,68,公設（有蓋）
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
