都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000069,滋賀県,高島市,防火水槽,高島市今津町深清水南深清水,,35.44190278 ,136.01896111 ,40,公設（有蓋）
252123,0000000070,滋賀県,高島市,防火水槽,高島市今津町南新保,,35.40728889 ,136.04210833 ,40,公設（有蓋）
252123,0000000071,滋賀県,高島市,防火水槽,高島市今津町南新保,,35.40970000 ,136.03696111 ,40,公設（有蓋）
252123,0000000072,滋賀県,高島市,防火水槽,高島市今津町南新保市ヶ崎,,35.40635556 ,136.04271667 ,40,公設（有蓋）
252123,0000000073,滋賀県,高島市,防火水槽,高島市今津町南新保市ヶ崎,,35.40672778 ,136.04501667 ,40,公設（有蓋）
252123,0000000074,滋賀県,高島市,防火水槽,高島市今津町藺生,,35.40848889 ,135.98984722 ,40,公設（有蓋）
252123,0000000075,滋賀県,高島市,防火水槽,高島市今津町藺生,,35.40652500 ,135.99024167 ,40,公設（有蓋）
252123,0000000076,滋賀県,高島市,防火水槽,高島市今津町椋川,,35.40025278 ,135.96887500 ,40,公設（有蓋）
252123,0000000077,滋賀県,高島市,防火水槽,高島市今津町椋川,,35.39379167 ,135.89216111 ,40,公設（有蓋）
252123,0000000078,滋賀県,高島市,防火水槽,高島市今津町椋川,,35.40054722 ,135.91408056 ,40,公設（有蓋）
252123,0000000079,滋賀県,高島市,防火水槽,高島市今津町杉山,,35.42679722 ,136.93872500 ,40,公設（有蓋）
252123,0000000080,滋賀県,高島市,防火水槽,高島市今津町角川,,35.43003333 ,135.95074167 ,40,公設（有蓋）
252123,0000000081,滋賀県,高島市,防火水槽,高島市今津町角川,,35.42797222 ,135.94899722 ,40,公設（有蓋）
252123,0000000082,滋賀県,高島市,防火水槽,高島市今津町角川,,35.42355278 ,135.94750833 ,40,公設（有蓋）
252123,0000000083,滋賀県,高島市,防火水槽,高島市今津町角川,,35.42518056 ,135.94804722 ,40,公設（有蓋）
252123,0000000084,滋賀県,高島市,防火水槽,高島市今津町保坂,,35.41426667 ,135.94270556 ,40,公設（有蓋）
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
